loan_word;purist_equivalent
abaliënatie;ontvreemdingh
abandonneren;overgeven,verlaten,opgeven
abderen;verberghen,berghen,schuylen
abdiceren;ontseggen,afseggen
aberreren;afdwalen
abhorreren;afschricken
abigeren;weghdrijven,ontvoeren
abjiceren;weghwerpen,verwerpen
abjudiceren;afwijsen,ontwijsen
abjuratie;afzweeringe
abjureren;afzweren,ontzweren
ablatie;ontnemingh,weghnemingh
ablegeren;afsenden,weghstieren
abnegeren;lochgenen,ontseggen,verzaken
abnuëren;afwencken,ontseggen
aboleren;verdelgen,vernielen,vernietigen
abominabel;grouwelijck
abominatie;gruwel,afschrick
abonderen;overvloeyen
aborderen;anranden,an boort leggen
abortiëren;misdraght baren,mis-baren,mis-draghen
abregé;verkortzel,kort begrijp
abripiëren;wechrucken,ontrucken,schaken
abrogeren;afschaffen,afbreken
abrupt;plotselijk
abscederen;afscheyden,afwijcken,ontwijcken
absconderen;wegh-duycken,ontschuylen
absent;afweesen
absenteren;afsijn
absolut;onbepaalt,plat-uyt,vol-uyt,volstreckt,rond-uyt
absolutie;afdoeninge,vrykenninge
absolveren;volvoeren,voltrecken,vrykennen,afdoen,ontslaen
absorberen;opslocken,inslorpen,verslinden
abstergeren;afvagen,afwissen
abstinentie;onthoudinge,afhoudinge
abstineren;onthouden,spanen
abstract;afgetrocken
abstraheren;onttrecken,aftrecken
abstruderen;verstoten
absurd;ongerijmt
abundantie;overvloedigheyd
abus;misbruyk,mislagh,versinning
abuseren;mis-bruyken,mis-leyden,versinnen
academia;Opper-school,Landschool
accableren;verdrucken,stolpen
accederen;by-komen,ankomen,ghenaken
accelereren;spoeden,haasten
accenderen;ontsteken,ansteken
accenseren;by-rekenen,by-aghten,by-houden
accent;woord-klank,galm
accepteren;anvaarden
acceptilatie;ontfang-brief,quijtbrief
accerseren;daghvaarden,dagen
acces;toegang,angang
accessoor;toegancklijck,bykomende
accident;toeval,voorval,byval
accideren;toevallen,voorvallen,byvallen
accingeren;angorden,omgorden
acclamatie;toeroeping
acclameren;toeroepen
accomoderen;voegen,gevoegen,gerieven
accompagneren;verselschappen
accord;verdragh
accorderen;verdragen,overeenkomen
accoutreren;toestellen,optooyen
accresceren;angroeyen
accumberen;ansitten,anliggen
accumuleren;ophopen
accuraat;schrander,spitsvindigh,bondigh
accusatie;anklacht,beschuldiging
accuseren;betighten,anklagen,beschuldigen,betijgen,antijgen
acerbiteyt;wrangheydt
acquiëscement;berustinge,toestaninge
acquiësceren;berusten,gerust zijn,toestaan,bewillighen
acquireren;verkrijgen,bekomen
acquiteren;quijten,quijtschelden
acre;scherp
acte;blijck,bescheydt,een kennisse
actie;handelingh,werckinghe,opspraack,op te spreken hebben
actif;werckelijck
actiones;reghtsmiddelen,Pleytstucken,dinghtaalen
actueel;Actueux,werckelijck
actum;gedaan,gemaackt
acuëren;wetten,spitsen,scherpen
acut;scherp
adagium;spreeckwoord
adapteren;anvoeghen,by-schicken,toe-passen
adderen;toedoen
addiceren;toekennen,toeseggen
additie;toedoeningh
adduceren;anleyden,byleyden
adhereren;anhangen
adhiberen;byhouden,bybrengen,besigen
adhibitie;toebrenginge,bybrenginge
adhorteren;anmanen
adiëren;anvaerden,annemen
adigeren;andrijven
adimeren;benemen
adimpliëren;vervullen
adipisceren;bekomen,verkrijgen
adjiciëren;toewerpen
adjoint;bygevoegde
adjointeren;#VALUE!
adjourneren;daghvaarden
adjudicatie;toewijsinge
adjudiceren;toewijsen
adjument;hulp,bystant
adjunct;bygevoegd
adjureren;zweeren,bezweeren
adjusteren;gelijkmaken
adjuveren;helpen
adminiculeren;ondersteunen,helpen,stutten
administratie;bewint,bedieninge
administreren;bewindt hebben
admiraal;Zee-vooght,Vloot-Heer
admirabel;wonderbaar
admireren;verwonderen
admisceren;vermengen
admitteren;toestaan,inwilligen
admoneren;vermanen,anmanen
admonitie;anmaninge
admorderen;toebijten,anbijten
admoveren;anvoeren,aanbrenghen,anstuwen
adnavigeren;anschepen,anvaren
adnecteren;anknopen,anbinden
adoleren;reuckofferen
adopteren;anneemen tot kintschap
adoptie;anneeming tot kindtschap
adoratie;anbiddinge
adoreren;anbidden
adorneren;vercieren,opschicken,tooyen
adporteren;weghbrengen
adresse;bestellinge,beschickinge
adresseren;schicken,bestellen,beschicken,anwijsen,toestieren
aduleren;pluymstrijcken,vleyen
adultere;overspel
advenant;overeenkomst
adveniëren;toekomen
advent;toekomste
advers;tegen
adversarius;tegendeel,tegenzijde
adversiteyt;tegenspoet
adverteren;toekeeren,waerschouwen
advertissement;waerschouwinge,te kennen geving
advijs;goetdunken,waerschouwinge
adviseren;beraden,besinnen,raden,te kennen geven
advocaat;voorspraak
advoceren;voorspreeken
advolveren;toerollen,aanrollen,toewentelen,aanwentelen
advouëren;gestandt doen,toestemmen
affable;gespraaksaam
affecteren;be-yveren,behertighen,soecken,vereyschen
affectie;hertstoght,toeneyging
affectioneren;toeneygen
afficiëren;andoen
affigeren;anheghten
affiniteyt;maagschap,swagerschap
affirmeren;bevestigen
afflictie;quellinge
affluëren;toevloeyen,overvloeyen
affront;verkortinge,beleedinge
affronteren;verkorten,beledigen
agent;Gesant,Hofgesant
ageren;doen,bedrijven,verhandelen
aggravatie;beswaringe,overladinge
aggraveren;beswaren,overladen
aggreable;angenaam,behaaglijck
aggreatie;behaging,toestemming
aggrediëren;anvallen,angaan,toetreden
aggreëren;behaghen,believen,bewillighen
aggregeren;toegaderen
aggresseren;anvatten,anvallen,invaren
agil;snel,behendigh
agitatie;drijvinge,beroeringe,anstokinge
agiteren;drijven,beroeren
agnosceren;erkennen
agriculture;Lant-bou
aliënatie;vervreemdinge
aliëneren;vervreemden
aliment;Alimonie,onderhout,voetsel
alimentatie;voedinge,opvoedinge
allatreren;anbassen
allegatie;bybrenging
allegeren;bybrengen,voorthalen
alleveren;verlighten
alliantie;verbont
alliceren;anlocken
allideren;anstoten
alliëren;verbont maken,verbinden
allocutie;anspraak
allodiale-goederen;onleen-goederen
alloqueren;anspreken
alludéren;op speelen,’t ooge op hebben
alluëren;anvloeyen
allumeren;ontsteken
allusie;spelinge oft insicht op yets
alluvie;anvloeyinge,anspoelinge
